File,Group1,Sample,Group2,Time
kit.1_S1_L001_R1_001.fastq.gz,kit.C_24h,kit.C_24h_1,C,24h
kit.2_S2_L001_R1_001.fastq.gz,kit.KA_24h,kit.KA_24h_1,KA,24h
kit.3_S3_L001_R1_001.fastq.gz,kit.C_2w,kit.C_2w_1,C,2w
kit.4_S4_L001_R1_001.fastq.gz,kit.KA_2w,kit.KA_2w_1,KA,2w
kit.5_S5_L001_R1_001.fastq.gz,kit.C_24h,kit.C_24h_2,C,24h
kit.6_S6_L001_R1_001.fastq.gz,kit.KA_24h,kit.KA_24h_2,KA,24h
kit.7_S7_L001_R1_001.fastq.gz,kit.C_2w,kit.C_2w_2,C,2w
kit.8_S8_L001_R1_001.fastq.gz,kit.KA_2w,kit.KA_2w_2,KA,2w
kit.9_S9_L001_R1_001.fastq.gz,kit.C_24h,kit.C_24h_3,C,24h
kit.10_S10_L001_R1_001.fastq.gz,kit.KA_24h,kit.KA_24h_3,KA,24h
kit.11_S11_L001_R1_001.fastq.gz,kit.C_2w,kit.C_2w_3,C,2w
kit.12_S12_L001_R1_001.fastq.gz,kit.KA_2w,kit.KA_2w_3,KA,2w
uc.1_S1_L001_R1_001.fastq.gz,uc.C_24h,uc.C_24h_1,C,24h
uc.2_S2_L001_R1_001.fastq.gz,uc.KA_24h,uc.KA_24h_1,KA,24h
uc.3_S3_L001_R1_001.fastq.gz,uc.C_2w,uc.C_2w_1,C,2w
uc.4_S4_L001_R1_001.fastq.gz,uc.KA_2w,uc.KA_2w_1,KA,2w
uc.5_S5_L001_R1_001.fastq.gz,uc.C_24h,uc.C_24h_2,C,24h
uc.6_S6_L001_R1_001.fastq.gz,uc.KA_24h,uc.KA_24h_2,KA,24h
uc.7_S7_L001_R1_001.fastq.gz,uc.C_2w,uc.C_2w_2,C,2w
uc.8_S8_L001_R1_001.fastq.gz,uc.KA_2w,uc.KA_2w_2,KA,2w
uc.9_S9_L001_R1_001.fastq.gz,uc.C_24h,uc.C_24h_3,C,24h
uc.10_S10_L001_R1_001.fastq.gz,uc.KA_244h,uc.KA_24h_3,KA,24h
uc.11_S11_L001_R1_001.fastq.gz,uc.C_2w,uc.C_2w_3,C,2w
uc.12_S12_L001_R1_001.fastq.gz,uc.KA_2w,uc.KA_2w_3,KA,2w
